,Unnamed: 0,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
120,120,21,141,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
121,121,22,146,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
122,122,23,149,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
123,123,24,158,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
124,124,25,166,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
125,125,26,169,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
126,126,27,176,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
127,127,28,181,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
128,128,29,186,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
129,129,30,191,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
130,130,31,202,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
131,131,32,211,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
132,132,33,216,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
133,133,34,221,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
134,134,35,226,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
135,135,36,234,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
136,136,37,238,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
137,137,38,242,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
138,138,39,255,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
139,139,40,265,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
140,140,41,269,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
141,141,42,276,5,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
142,142,43,277,6,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
143,143,44,279,7,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
144,144,45,281,7,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
145,145,46,287,7,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
146,146,47,300,7,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
147,147,48,307,7,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
148,148,49,309,8,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
149,149,50,317,9,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
150,150,1,8,0,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
151,151,2,8,0,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
152,152,3,9,1,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
153,153,4,17,1,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
154,154,5,25,1,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
155,155,6,30,2,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
156,156,7,32,2,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
157,157,8,40,2,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
158,158,9,45,2,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
159,159,10,47,3,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
160,160,11,51,3,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
161,161,12,51,4,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
162,162,13,59,4,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
163,163,14,62,4,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
164,164,15,66,4,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
165,165,16,70,4,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
166,166,17,72,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
167,167,18,77,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
168,168,19,83,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
169,169,20,83,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
170,170,21,88,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
171,171,22,89,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
172,172,23,95,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
173,173,24,97,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
